minute,slippage_per_share,x_t_allocated
2025-04-03 18:33:00+00:00,0.045,2
2025-04-03 18:34:00+00:00,0.11,1
2025-04-03 18:35:00+00:00,0.125,1
2025-04-03 18:36:00+00:00,0.096,1
2025-04-03 18:37:00+00:00,0.06,2
2025-04-03 18:38:00+00:00,0.045,2
2025-04-03 18:39:00+00:00,0.06,2
2025-04-03 18:40:00+00:00,0.13,1
2025-04-03 18:41:00+00:00,0.17,1
2025-04-03 18:42:00+00:00,0.105,1
2025-04-03 18:43:00+00:00,0.11,1
2025-04-03 18:44:00+00:00,0.125,1
2025-04-03 18:45:00+00:00,0.181,1
2025-04-03 18:46:00+00:00,0.075,1
2025-04-03 18:47:00+00:00,0.045,2
2025-04-03 18:48:00+00:00,0.125,1
2025-04-03 18:49:00+00:00,0.03,3
2025-04-03 18:50:00+00:00,0.149,1
2025-04-03 18:51:00+00:00,0.065,1
2025-04-03 18:52:00+00:00,0.075,1
2025-04-03 18:53:00+00:00,0.055,2
2025-04-03 18:54:00+00:00,0.045,2
2025-04-03 18:55:00+00:00,0.045,2
2025-04-03 18:56:00+00:00,0.095,1
2025-04-03 18:57:00+00:00,0.12,1
2025-04-03 18:58:00+00:00,0.095,1
2025-04-03 18:59:00+00:00,0.065,1
2025-04-03 19:00:00+00:00,0.13,1
2025-04-03 19:01:00+00:00,0.165,1
2025-04-03 19:02:00+00:00,0.06,2
2025-04-03 19:03:00+00:00,0.095,1
2025-04-03 19:04:00+00:00,0.1,1
2025-04-03 19:05:00+00:00,0.11,1
2025-04-03 19:06:00+00:00,0.07,1
2025-04-03 19:07:00+00:00,0.1,1
2025-04-03 19:08:00+00:00,0.175,1
2025-04-03 19:09:00+00:00,0.1,1
2025-04-03 19:10:00+00:00,0.24,0
2025-04-03 19:11:00+00:00,0.08,1
2025-04-03 19:12:00+00:00,0.055,2
2025-04-03 19:13:00+00:00,0.065,1
2025-04-03 19:14:00+00:00,0.09,1
2025-04-03 19:15:00+00:00,0.095,1
2025-04-03 19:16:00+00:00,0.15,1
2025-04-03 19:17:00+00:00,0.025,4
2025-04-03 19:18:00+00:00,0.08,1
2025-04-03 19:19:00+00:00,0.14,1
2025-04-03 19:20:00+00:00,0.155,1
2025-04-03 19:21:00+00:00,0.07,1
2025-04-03 19:22:00+00:00,0.075,1
2025-04-03 19:23:00+00:00,0.1,1
2025-04-03 19:24:00+00:00,0.115,1
2025-04-03 19:25:00+00:00,0.17,1
2025-04-03 19:26:00+00:00,0.25,0
2025-04-03 19:27:00+00:00,0.1,1
2025-04-03 19:28:00+00:00,0.2,0
2025-04-03 19:29:00+00:00,0.1,1
2025-04-03 19:30:00+00:00,0.14,1
2025-04-03 19:31:00+00:00,0.05,2
2025-04-03 19:32:00+00:00,0.05,2
2025-04-03 19:33:00+00:00,0.135,1
2025-04-03 19:34:00+00:00,0.125,1
2025-04-03 19:35:00+00:00,0.07,1
2025-04-03 19:36:00+00:00,0.04,2
2025-04-03 19:37:00+00:00,0.04,2
2025-04-03 19:38:00+00:00,0.14,1
2025-04-03 19:39:00+00:00,0.085,1
2025-04-03 19:40:00+00:00,0.045,2
2025-04-03 19:41:00+00:00,0.08,1
2025-04-03 19:42:00+00:00,0.075,1
2025-04-03 19:43:00+00:00,0.09,1
2025-04-03 19:44:00+00:00,0.059,2
2025-04-03 19:45:00+00:00,0.041,2
2025-04-03 19:46:00+00:00,0.04,2
2025-04-03 19:47:00+00:00,0.13,1
2025-04-03 19:48:00+00:00,0.06,2
2025-04-03 19:49:00+00:00,0.205,0
2025-04-03 19:50:00+00:00,0.122,1
2025-04-03 19:51:00+00:00,0.04,2
2025-04-03 19:52:00+00:00,0.085,1
2025-04-03 19:53:00+00:00,0.04,2
2025-04-03 19:54:00+00:00,0.045,2
2025-04-03 19:55:00+00:00,0.025,4
2025-04-03 19:56:00+00:00,0.02,5
2025-04-03 19:57:00+00:00,0.03,3
2025-04-03 19:58:00+00:00,0.08,1
2025-04-03 19:59:00+00:00,0.065,1
